LT708304.1	80272	80586
LT708304.1	103748	105251
LT708304.1	105360	106751
LT708304.1	131420	132910
LT708304.1	149571	151187
LT708304.1	177733	179499
LT708304.1	179509	181086
LT708304.1	187623	189029
LT708304.1	189121	190629
LT708304.1	306202	307872
LT708304.1	331762	332004
LT708304.1	331827	334433
LT708304.1	334697	337330
LT708304.1	337580	340075
LT708304.1	340366	341976
LT708304.1	350626	350934
LT708304.1	350937	352478
LT708304.1	362336	364156
LT708304.1	367197	370640
LT708304.1	370784	376741
LT708304.1	400565	401080
LT708304.1	425173	435696
LT708304.1	467689	469020
LT708304.1	531770	533209
LT708304.1	544193	545749
LT708304.1	623943	625688
LT708304.1	625594	625821
LT708304.1	673239	677159
LT708304.1	702629	704012
LT708304.1	834176	834692
LT708304.1	834814	835332
LT708304.1	837525	839918
LT708304.1	840317	843046
LT708304.1	848349	850103
LT708304.1	850293	852230
LT708304.1	891218	892309
LT708304.1	922405	922692
LT708304.1	925781	926194
LT708304.1	926191	928512
LT708304.1	928739	931234
LT708304.1	948066	948396
LT708304.1	968884	970710
LT708304.1	977352	978668
LT708304.1	1020524	1021795
LT708304.1	1021810	1022109
LT708304.1	1025924	1027359
LT708304.1	1025924	1025938
LT708304.1	1027345	1027359
LT708304.1	1027507	1027555
LT708304.1	1027507	1029829
LT708304.1	1027526	1027542
LT708304.1	1029782	1029829
LT708304.1	1029811	1029827
LT708304.1	1090840	1093611
LT708304.1	1093828	1094835
LT708304.1	1095557	1096930
LT708304.1	1159396	1160908
LT708304.1	1161772	1162947
LT708304.1	1163024	1163851
LT708304.1	1165047	1166025
LT708304.1	1169747	1171181
LT708304.1	1169848	1169862
LT708304.1	1171157	1171171
LT708304.1	1188897	1190912
LT708304.1	1191245	1193536
LT708304.1	1212948	1215272
LT708304.1	1215922	1216356
LT708304.1	1216373	1216540
LT708304.1	1217878	1220430
LT708304.1	1253016	1254371
LT708304.1	1263671	1265527
LT708304.1	1277700	1279148
LT708304.1	1279215	1280192
LT708304.1	1279243	1279246
LT708304.1	1279247	1279263
LT708304.1	1280201	1280216
LT708304.1	1280217	1280220
LT708304.1	1300164	1300661
LT708304.1	1300663	1301205
LT708304.1	1303156	1304082
LT708304.1	1340281	1340580
LT708304.1	1340627	1341799
LT708304.1	1342563	1342570
LT708304.1	1342571	1344005
LT708304.1	1342609	1342623
LT708304.1	1343918	1343932
LT708304.1	1344006	1344013
LT708304.1	1358521	1358895
LT708304.1	1386261	1387949
LT708304.1	1470598	1472097
LT708304.1	1470598	1470617
LT708304.1	1472078	1472097
LT708304.1	1490598	1492409
LT708304.1	1534887	1536077
LT708304.1	1562552	1562860
LT708304.1	1562857	1564476
LT708304.1	1573215	1574573
LT708304.1	1607102	1608688
LT708304.1	1618946	1620421
LT708304.1	1631394	1635620
LT708304.1	1636997	1639384
LT708304.1	1656764	1657876
LT708304.1	1739719	1741755
LT708304.1	1778282	1779644
LT708304.1	1845538	1846470
LT708304.1	1852121	1855177
LT708304.1	1916962	1918340
LT708304.1	1921247	1922404
LT708304.1	1922444	1923628
LT708304.1	1932189	1932363
LT708304.1	1971421	1974576
LT708304.1	1993433	1994662
LT708304.1	1993433	1993446
LT708304.1	1994649	1994662
LT708304.1	1995463	1997337
LT708304.1	2020168	2021262
LT708304.1	2021341	2021640
LT708304.1	2021654	2022835
LT708304.1	2023289	2024341
LT708304.1	2024768	2025067
LT708304.1	2034317	2036284
LT708304.1	2036865	2038136
LT708304.1	2038248	2039639
LT708304.1	2039787	2041409
LT708304.1	2041443	2041706
LT708304.1	2042936	2043235
LT708304.1	2043250	2044461
LT708304.1	2044785	2046014
LT708304.1	2046146	2046709
LT708304.1	2046710	2047558
LT708304.1	2056042	2057547
LT708304.1	2082732	2084132
LT708304.1	2157623	2163355
LT708304.1	2163693	2164697
LT708304.1	2164780	2166657
LT708304.1	2192033	2193394
LT708304.1	2209570	2211246
LT708304.1	2239359	2240586
LT708304.1	2324842	2326310
LT708304.1	2342983	2344458
LT708304.1	2352253	2352549
LT708304.1	2352605	2353336
LT708304.1	2365907	2367301
LT708304.1	2372011	2373078
LT708304.1	2408169	2409641
LT708304.1	2422590	2423393
LT708304.1	2582737	2583885
LT708304.1	2599675	2600916
LT708304.1	2608062	2609435
LT708304.1	2610173	2612017
LT708304.1	2624235	2624420
LT708304.1	2665282	2666364
LT708304.1	2678612	2679331
LT708304.1	2693240	2694450
LT708304.1	2693240	2693252
LT708304.1	2694438	2694450
LT708304.1	2699910	2700494
LT708304.1	2700541	2700840
LT708304.1	2766513	2767016
LT708304.1	2767013	2767960
LT708304.1	2767977	2768597
LT708304.1	2772466	2775918
LT708304.1	2775915	2777444
LT708304.1	2799702	2801136
LT708304.1	2799740	2799754
LT708304.1	2801049	2801063
LT708304.1	2806993	2808471
LT708304.1	2893410	2895050
LT708304.1	2906914	2908656
LT708304.1	2915468	2916862
LT708304.1	2931978	2934314
LT708304.1	2939425	2940353
LT708304.1	2943910	2943924
LT708304.1	3014940	3016454
LT708304.1	3037880	3039064
LT708304.1	3039144	3039971
LT708304.1	3040295	3041443
LT708304.1	3056724	3058755
LT708304.1	3073369	3074775
LT708304.1	3076708	3077106
LT708304.1	3080147	3084550
LT708304.1	3080147	3080182
LT708304.1	3080218	3080253
LT708304.1	3080291	3080326
LT708304.1	3080365	3080400
LT708304.1	3080444	3080479
LT708304.1	3080521	3080556
LT708304.1	3080595	3080630
LT708304.1	3080669	3080704
LT708304.1	3080742	3080777
LT708304.1	3080816	3080851
LT708304.1	3080887	3080922
LT708304.1	3080960	3080995
LT708304.1	3081033	3081068
LT708304.1	3081105	3081140
LT708304.1	3081177	3081212
LT708304.1	3081251	3081286
LT708304.1	3081325	3081360
LT708304.1	3081396	3081415
LT708304.1	3081413	3081415
LT708304.1	3081416	3082770
LT708304.1	3081416	3081443
LT708304.1	3082743	3082770
LT708304.1	3082771	3082773
LT708304.1	3082774	3082789
LT708304.1	3082830	3082865
LT708304.1	3082905	3082940
LT708304.1	3082978	3083013
LT708304.1	3083054	3083089
LT708304.1	3083131	3083166
LT708304.1	3083203	3083238
LT708304.1	3083275	3083310
LT708304.1	3083348	3083383
LT708304.1	3083409	3083444
LT708304.1	3083486	3083521
LT708304.1	3083558	3083593
LT708304.1	3083633	3083668
LT708304.1	3083707	3083742
LT708304.1	3083781	3083816
LT708304.1	3083852	3083887
LT708304.1	3083927	3083962
LT708304.1	3084001	3084036
LT708304.1	3084076	3084111
LT708304.1	3084148	3084183
LT708304.1	3084219	3084254
LT708304.1	3084292	3084327
LT708304.1	3084364	3084399
LT708304.1	3084441	3084476
LT708304.1	3084515	3084550
LT708304.1	3123196	3125043
LT708304.1	3155093	3157360
LT708304.1	3161722	3162948
LT708304.1	3244939	3247151
LT708304.1	3249346	3249350
LT708304.1	3249351	3249404
LT708304.1	3251510	3251563
LT708304.1	3251564	3251568
LT708304.1	3294867	3296891
LT708304.1	3294867	3294872
LT708304.1	3296886	3296891
LT708304.1	3337966	3339279
LT708304.1	3339300	3339386
LT708304.1	3340347	3341654
LT708304.1	3341651	3341965
LT708304.1	3342277	3342284
LT708304.1	3342285	3343719
LT708304.1	3342323	3342337
LT708304.1	3343632	3343646
LT708304.1	3343720	3343727
LT708304.1	3437873	3439307
LT708304.1	3442277	3442284
LT708304.1	3442358	3442372
LT708304.1	3443667	3443681
LT708304.1	3443720	3443727
LT708304.1	3448660	3449835
LT708304.1	3459518	3460663
LT708304.1	3461315	3462457
LT708304.1	3469609	3470838
LT708304.1	3486912	3488681
LT708304.1	3488929	3490827
LT708304.1	3516208	3517597
LT708304.1	3516208	3516270
LT708304.1	3517535	3517597
LT708304.1	3668986	3670071
LT708304.1	3691027	3695043
LT708304.1	3695092	3699105
LT708304.1	3699102	3700721
LT708304.1	3701658	3704843
LT708304.1	3704840	3711130
LT708304.1	3706864	3707893
LT708304.1	3712238	3712978
LT708304.1	3713892	3717551
LT708304.1	3717545	3723679
LT708304.1	3723737	3725041
LT708304.1	3736507	3738387
LT708304.1	3752270	3753837
LT708304.1	3756681	3756682
LT708304.1	3756683	3756707
LT708304.1	3758226	3758250
LT708304.1	3758251	3758252
LT708304.1	3758349	3760598
LT708304.1	3799280	3799816
LT708304.1	3799757	3800920
LT708304.1	3801411	3802255
LT708304.1	3835634	3837026
LT708304.1	3844844	3845140
LT708304.1	3845177	3846358
LT708304.1	3876605	3880687
LT708304.1	3880978	3885360
LT708304.1	3888267	3894083
LT708304.1	3894914	3897892
LT708304.1	3916971	3918191
LT708304.1	3918333	3920081
LT708304.1	3925687	3927126
LT708304.1	3945608	3947266
LT708304.1	3979031	3980785
LT708304.1	3984225	3985703
LT708304.1	4012903	4015020
LT708304.1	4017315	4017363
LT708304.1	4019384	4019432
LT708304.1	4020155	4021447
LT708304.1	4020155	4020167
LT708304.1	4021435	4021447
LT708304.1	4032882	4033166
LT708304.1	4035281	4035595
LT708304.1	4035589	4036302
LT708304.1	4131157	4131513
LT708304.1	4136877	4137212
LT708304.1	4189149	4190642
LT708304.1	4193561	4193587
LT708304.1	4195028	4195054
LT708304.1	4217256	4218770
LT708304.1	4242228	4244100
LT708304.1	4254615	4255644
LT708304.1	4291477	4291773
LT708304.1	4291807	4292913
LT708304.1	4312853	4314052
LT708304.1	4314131	4314364
