80272,80586
103748,105251
105360,106751
131420,132910
149571,151187
177733,179499
179509,181086
187623,189029
189121,190629
306202,307872
331762,332004
331827,334433
334697,337330
337580,340075
340366,341976
350626,350934
350937,352478
362336,364156
367197,370640
370784,376741
400565,401080
425173,435696
467689,469020
531770,533209
544193,545749
623943,625688
625594,625821
673239,677159
702629,704012
834176,834692
834814,835332
837525,839918
840317,843046
848349,850103
850293,852230
891218,892309
922405,922692
925781,926194
926191,928512
928739,931234
948066,948396
968884,970710
977352,978668
1020524,1021795
1021810,1022109
1025924,1027359
1025924,1025938
1027345,1027359
1027507,1027555
1027507,1029829
1027526,1027542
1029782,1029829
1029811,1029827
1090840,1093611
1093828,1094835
1095557,1096930
1159396,1160908
1161772,1162947
1163024,1163851
1165047,1166025
1169747,1171181
1169848,1169862
1171157,1171171
1188897,1190912
1191245,1193536
1212948,1215272
1215922,1216356
1216373,1216540
1217878,1220430
1253016,1254371
1263671,1265527
1277700,1279148
1279215,1280192
1279243,1279246
1279247,1279263
1280201,1280216
1280217,1280220
1300164,1300661
1300663,1301205
1303156,1304082
1340281,1340580
1340627,1341799
1342563,1342570
1342571,1344005
1342609,1342623
1343918,1343932
1344006,1344013
1358521,1358895
1386261,1387949
1470598,1472097
1470598,1470617
1472078,1472097
1490598,1492409
1534887,1536077
1562552,1562860
1562857,1564476
1573215,1574573
1607102,1608688
1618946,1620421
1631394,1635620
1636997,1639384
1656764,1657876
1739719,1741755
1778282,1779644
1845538,1846470
1852121,1855177
1916962,1918340
1921247,1922404
1922444,1923628
1932189,1932363
1971421,1974576
1993433,1994662
1993433,1993446
1994649,1994662
1995463,1997337
2020168,2021262
2021341,2021640
2021654,2022835
2023289,2024341
2024768,2025067
2034317,2036284
2036865,2038136
2038248,2039639
2039787,2041409
2041443,2041706
2042936,2043235
2043250,2044461
2044785,2046014
2046146,2046709
2046710,2047558
2056042,2057547
2082732,2084132
2157623,2163355
2163693,2164697
2164780,2166657
2192033,2193394
2209570,2211246
2239359,2240586
2324842,2326310
2342983,2344458
2352253,2352549
2352605,2353336
2365907,2367301
2372011,2373078
2408169,2409641
2422590,2423393
2582737,2583885
2599675,2600916
2608062,2609435
2610173,2612017
2624235,2624420
2665282,2666364
2678612,2679331
2693240,2694450
2693240,2693252
2694438,2694450
2699910,2700494
2700541,2700840
2766513,2767016
2767013,2767960
2767977,2768597
2772466,2775918
2775915,2777444
2799702,2801136
2799740,2799754
2801049,2801063
2806993,2808471
2893410,2895050
2906914,2908656
2915468,2916862
2931978,2934314
2939425,2940353
2943910,2943924
3014940,3016454
3037880,3039064
3039144,3039971
3040295,3041443
3056724,3058755
3073369,3074775
3076708,3077106
3080147,3084550
3080147,3080182
3080218,3080253
3080291,3080326
3080365,3080400
3080444,3080479
3080521,3080556
3080595,3080630
3080669,3080704
3080742,3080777
3080816,3080851
3080887,3080922
3080960,3080995
3081033,3081068
3081105,3081140
3081177,3081212
3081251,3081286
3081325,3081360
3081396,3081415
3081413,3081415
3081416,3082770
3081416,3081443
3082743,3082770
3082771,3082773
3082774,3082789
3082830,3082865
3082905,3082940
3082978,3083013
3083054,3083089
3083131,3083166
3083203,3083238
3083275,3083310
3083348,3083383
3083409,3083444
3083486,3083521
3083558,3083593
3083633,3083668
3083707,3083742
3083781,3083816
3083852,3083887
3083927,3083962
3084001,3084036
3084076,3084111
3084148,3084183
3084219,3084254
3084292,3084327
3084364,3084399
3084441,3084476
3084515,3084550
3123196,3125043
3155093,3157360
3161722,3162948
3244939,3247151
3249346,3249350
3249351,3249404
3251510,3251563
3251564,3251568
3294867,3296891
3294867,3294872
3296886,3296891
3337966,3339279
3339300,3339386
3340347,3341654
3341651,3341965
3342277,3342284
3342285,3343719
3342323,3342337
3343632,3343646
3343720,3343727
3437873,3439307
3442277,3442284
3442358,3442372
3443667,3443681
3443720,3443727
3448660,3449835
3459518,3460663
3461315,3462457
3469609,3470838
3486912,3488681
3488929,3490827
3516208,3517597
3516208,3516270
3517535,3517597
3668986,3670071
3691027,3695043
3695092,3699105
3699102,3700721
3701658,3704843
3704840,3711130
3706864,3707893
3712238,3712978
3713892,3717551
3717545,3723679
3723737,3725041
3736507,3738387
3752270,3753837
3756681,3756682
3756683,3756707
3758226,3758250
3758251,3758252
3758349,3760598
3799280,3799816
3799757,3800920
3801411,3802255
3835634,3837026
3844844,3845140
3845177,3846358
3876605,3880687
3880978,3885360
3888267,3894083
3894914,3897892
3916971,3918191
3918333,3920081
3925687,3927126
3945608,3947266
3979031,3980785
3984225,3985703
4012903,4015020
4017315,4017363
4019384,4019432
4020155,4021447
4020155,4020167
4021435,4021447
4032882,4033166
4035281,4035595
4035589,4036302
4131157,4131513
4136877,4137212
4189149,4190642
4193561,4193587
4195028,4195054
4217256,4218770
4242228,4244100
4254615,4255644
4291477,4291773
4291807,4292913
4312853,4314052
4314131,4314364
